GroupId|ArtifactId|Version
org.opensaml|opensaml-security-impl|3.2.0
org.opensaml|opensaml-xmlsec-impl|3.2.0
org.opensaml|opensaml-soap-impl|3.2.0
org.apache.velocity|velocity|1.7
org.apache.ws.security|wss4j|1.6.19
org.apache.santuario|xmlsec|1.5.8
uk.co.loyalty|iss-aip-identity-domain-impl|0-SNAPSHOT
io.jsonwebtoken|jjwt|0.6.0
org.springframework|spring-oxm|5.0.4.RELEASE
org.springframework.ws|spring-xml|2.3.0.RELEASE
org.springframework.ws|spring-ws-core|2.3.0.RELEASE
org.springframework.ws|spring-ws-security|2.3.0.RELEASE
org.apache.wss4j|wss4j-ws-security-dom|2.1.4
org.apache.wss4j|wss4j-ws-security-common|2.1.4
org.opensaml|opensaml-xacml-impl|3.1.1
org.opensaml|opensaml-xacml-api|3.1.1
org.opensaml|opensaml-xacml-saml-impl|3.1.1
org.opensaml|opensaml-xacml-saml-api|3.1.1
org.apache.geronimo.specs|geronimo-javamail_1.4_spec|1.7.1
org.springframework.ws|spring-ws-support|2.3.0.RELEASE
mysql|mysql-connector-java|5.1.39
javax.cache|cache-api|1.0.0
uk.co.loyalty|iss-aip-common-events-app|0-SNAPSHOT
uk.co.loyalty|iss-aip-common-events-service|0-SNAPSHOT
uk.co.loyalty|iss-aip-common-events-impl|0-SNAPSHOT
com.google.code.gson|gson|2.8.0
org.springframework|spring-jms|5.0.4.RELEASE
org.springframework|spring-messaging|5.0.4.RELEASE
org.apache.camel|camel-core|2.18.1
org.apache.camel|camel-test|2.18.1
org.apache.activemq|activemq-client|5.14.1
org.fusesource.hawtbuf|hawtbuf|1.11
org.apache.geronimo.specs|geronimo-j2ee-management_1.1_spec|1.0.1
org.apache.camel|camel-jms|2.18.1
org.apache.camel|camel-spring|2.18.1
com.sun.xml.bind|jaxb-core|2.2.11
com.sun.xml.bind|jaxb-impl|2.2.11
org.apache.geronimo.specs|geronimo-jms_1.1_spec|1.1.1
org.apache.activemq|activemq-pool|5.14.1
org.apache.activemq|activemq-jms-pool|5.14.1
org.apache.geronimo.specs|geronimo-jta_1.0.1B_spec|1.0.1
org.apache.activemq|activemq-camel|5.14.1
org.apache.activemq|activemq-spring|5.14.1
org.apache.xbean|xbean-spring|3.18
org.apache.activemq|activemq-broker|5.14.1
org.apache.activemq|activemq-openwire-legacy|5.14.1
org.apache.commons|commons-pool2|2.5.0
javax.servlet|javax.servlet-api|3.0.1
uk.co.loyalty|iss-aip-common-test|0-SNAPSHOT
org.springframework.boot|spring-boot-starter-data-jpa|1.5.9.RELEASE
org.springframework.boot|spring-boot-starter|1.5.9.RELEASE
org.springframework.boot|spring-boot-starter-logging|1.5.9.RELEASE
org.yaml|snakeyaml|1.17
org.springframework.boot|spring-boot-starter-jdbc|1.5.9.RELEASE
org.apache.tomcat|tomcat-jdbc|8.5.23
org.apache.tomcat|tomcat-juli|8.5.23
org.springframework|spring-jdbc|5.0.4.RELEASE
org.hibernate|hibernate-core|4.3.11.Final
org.jboss.logging|jboss-logging-annotations|1.2.0.Beta1
org.jboss.spec.javax.transaction|jboss-transaction-api_1.2_spec|1.0.0.Final
dom4j|dom4j|1.6
org.hibernate.common|hibernate-commons-annotations|4.0.5.Final
org.javassist|javassist|3.18.1-GA
antlr|antlr|2.7.7
org.jboss|jandex|1.1.0.Final
org.hibernate|hibernate-entitymanager|4.3.11.Final
javax.transaction|javax.transaction-api|1.2
org.springframework.data|spring-data-jpa|1.11.9.RELEASE
